user,timestamp,ip,event,details,item_id,quantity,price,error_type,message,Base64Error
user_75,2024-11-19T09:21:54.001131,219.103.195.35,purchase,,6496.0,3.0,327.64,,,
,2024-11-19T12:58:25.001137,,,,,,,TimeoutError,Connection to DB failed 2024-11-19T12:58:25.001137,
user_405,2024-11-19T01:01:09.001139,153.56.154.123,logout,,4159.0,5.0,912.62,,,
user_848,2024-11-17T21:46:04.001145,192.56.121.71,purchase,,8427.0,1.0,849.57,,,
user_108,2024-11-19T09:38:54.001157,139.78.40.179,error,"{'item_id': 1563, 'quantity': 2, 'price': 961.29}",,,,,,
,,,,,,,,,,Invalid Base64 or decoding error
,2024-11-18T05:42:28.001175,,,,,,,TimeoutError,Connection to DB failed,
user_924,2024-11-18T02:24:03.001198,7.205.6.143,update,,2734.0,2.0,277.76,,,
,2024-11-19T09:33:56.001210,,,,,,,InvalidBase64,Data cannot be decoded,
user_977,2024-11-18T22:49:39.001212,99.62.158.245,error,"{'item_id': 4551, 'quantity': 1, 'price': 297.05}",,,,,,
,,,,,,,,,,Invalid Base64 or decoding error
,,,,,,,,,,Invalid Base64 or decoding error
user_964,2024-11-18T18:19:11.001241,4.3.186.43,error,"{'item_id': 5808, 'quantity': 1, 'price': 568.88}",,,,,,
user_197,2024-11-18T20:33:07.001250,74.29.200.167,error,,3401.0,2.0,900.42,,,
user_314,2024-11-18T02:35:17.001257,89.25.184.185,update,,7721.0,3.0,87.21,,,
user_272,2024-11-19T09:21:58.001266,123.96.174.217,logout,,9650.0,5.0,186.53,,,
user_257,2024-11-18T01:02:34.001278,141.182.203.218,update,,3879.0,1.0,121.28,,,
user_568,2024-11-17T22:06:01.001284,11.190.69.235,login,"{'item_id': 3025, 'quantity': 2, 'price': 571.08}",,,,,,
,2024-11-17T18:11:17.001291,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-17T18:11:17.001291,
user_513,2024-11-18T20:39:24.001293,169.251.65.171,error,"{'item_id': 8366, 'quantity': 1, 'price': 183.37}",,,,,,
user_643,2024-11-18T05:16:44.001327,209.168.157.69,logout,,3401.0,4.0,249.14,,,
user_346,2024-11-18T19:41:10.001335,204.191.195.58,error,,4124.0,5.0,709.53,,,
user_704,2024-11-19T14:41:48.001343,170.255.69.230,login,"{'item_id': 9955, 'quantity': 4, 'price': 327.86}",,,,,,
user_406,2024-11-18T02:59:14.001350,158.202.105.156,purchase,"{'item_id': 8951, 'quantity': 2, 'price': 928.61}",,,,,,
,2024-11-18T21:54:26.001368,,,,,,,TimeoutError,Connection to DB failed,
,,,,,,,,,,Invalid Base64 or decoding error
user_28,2024-11-19T16:47:55.001379,196.165.119.189,login,"{'item_id': 3876, 'quantity': 4, 'price': 42.46}",,,,,,
user_344,2024-11-19T09:13:02.001386,136.226.66.110,update,,7695.0,5.0,684.04,,,
user_24,2024-11-18T13:25:42.001395,14.24.195.119,update,,5912.0,1.0,449.62,,,
user_702,2024-11-19T01:31:33.001417,15.92.88.175,logout,"{'item_id': 6995, 'quantity': 3, 'price': 903.33}",,,,,,
user_848,2024-11-19T03:29:20.001426,145.161.18.195,logout,,3405.0,2.0,389.54,,,
user_271,2024-11-18T06:40:28.001434,169.163.208.66,purchase,,9122.0,4.0,548.33,,,
user_211,2024-11-18T21:30:09.001440,18.215.83.187,login,,3919.0,4.0,881.65,,,
user_983,2024-11-18T06:56:16.001446,40.151.25.74,purchase,"{'item_id': 7744, 'quantity': 1, 'price': 247.84}",,,,,,
,,,,,,,,,,Invalid Base64 or decoding error
,2024-11-18T21:57:47.001466,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-18T21:57:47.001466,
user_319,2024-11-18T05:09:50.001468,7.65.143.57,purchase,,2073.0,4.0,80.7,,,
,2024-11-17T18:23:26.001476,,,,,,,TimeoutError,Connection to DB failed,
user_594,2024-11-18T15:55:31.001483,156.137.253.9,error,"{'item_id': 8952, 'quantity': 5, 'price': 536.97}",,,,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_568,2024-11-19T02:08:16.001505,139.3.20.82,error,,6877.0,1.0,356.67,,,
user_699,2024-11-19T09:46:50.001523,100.63.188.56,logout,,3803.0,2.0,620.72,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_534,2024-11-19T16:20:32.001546,183.117.76.48,logout,"{'item_id': 9980, 'quantity': 5, 'price': 312.48}",,,,,,
,2024-11-18T20:55:06.001570,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-18T20:55:06.001570,
user_435,2024-11-17T20:46:08.001584,249.192.150.80,logout,,3402.0,2.0,303.14,,,
user_221,2024-11-19T16:48:17.001600,35.162.100.189,logout,,4046.0,5.0,663.89,,,
user_56,2024-11-19T02:27:37.001608,109.151.31.2,error,,7948.0,2.0,375.36,,,
user_533,2024-11-19T00:36:26.001633,64.93.243.231,error,"{'item_id': 3434, 'quantity': 5, 'price': 201.01}",,,,,,
user_361,2024-11-19T04:10:06.001639,120.139.248.133,login,"{'item_id': 4080, 'quantity': 1, 'price': 267.3}",,,,,,
user_921,2024-11-18T03:09:49.001657,30.104.118.32,logout,"{'item_id': 9790, 'quantity': 4, 'price': 29.42}",,,,,,
,2024-11-19T09:08:16.001663,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-19T09:08:16.001663,
,2024-11-19T00:52:16.001665,,,,,,,TimeoutError,Connection to DB failed,
user_352,2024-11-17T23:13:21.001677,36.93.231.10,purchase,"{'item_id': 9840, 'quantity': 3, 'price': 488.92}",,,,,,
user_915,2024-11-17T17:05:31.001690,237.63.175.25,logout,"{'item_id': 2274, 'quantity': 4, 'price': 284.98}",,,,,,
user_38,2024-11-19T00:50:58.001700,126.27.53.39,purchase,,5361.0,2.0,26.47,,,
,2024-11-17T17:57:21.001716,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-17T17:57:21.001716,
user_406,2024-11-17T18:18:11.001723,76.164.141.164,error,"{'item_id': 4787, 'quantity': 3, 'price': 116.47}",,,,,,
user_956,2024-11-18T09:00:22.001731,232.187.213.206,update,,2642.0,4.0,332.87,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_943,2024-11-19T03:28:04.001744,205.239.253.55,purchase,"{'item_id': 1342, 'quantity': 4, 'price': 474.23}",,,,,,
,,,,,,,,,,Invalid Base64 or decoding error
,,,,,,,,,,Invalid Base64 or decoding error
user_910,2024-11-19T08:36:45.001793,117.150.229.228,error,,3750.0,3.0,505.47,,,
user_604,2024-11-18T03:55:16.001799,7.55.196.176,update,"{'item_id': 1180, 'quantity': 2, 'price': 170.05}",,,,,,
user_514,2024-11-19T10:30:14.001820,24.191.8.241,login,"{'item_id': 1507, 'quantity': 4, 'price': 539.22}",,,,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_284,2024-11-18T13:42:41.001835,124.193.159.190,login,,4066.0,4.0,321.04,,,
user_399,2024-11-19T13:50:32.001841,12.80.14.195,purchase,,9831.0,2.0,473.15,,,
user_276,2024-11-19T16:04:26.001852,25.38.70.183,purchase,,9437.0,4.0,295.71,,,
user_493,2024-11-18T00:00:15.001869,135.110.243.8,error,"{'item_id': 5542, 'quantity': 1, 'price': 178.29}",,,,,,
,2024-11-19T15:56:44.001875,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-19T15:56:44.001875,
,2024-11-18T05:29:33.001877,,,,,,,TimeoutError,Connection to DB failed 2024-11-18T05:29:33.001877,
,,,,,,,,,,Invalid Base64 or decoding error
user_84,2024-11-19T02:36:56.001892,175.37.179.168,logout,"{'item_id': 7047, 'quantity': 3, 'price': 714.3}",,,,,,
,,,,,,,,,,Invalid Base64 or decoding error
,2024-11-19T11:04:22.001912,,,,,,,InvalidBase64,Data cannot be decoded,
user_746,2024-11-17T17:47:49.001922,143.47.175.106,logout,,4144.0,5.0,647.02,,,
user_380,2024-11-17T23:03:50.001931,186.106.219.209,logout,"{'item_id': 9047, 'quantity': 2, 'price': 602.54}",,,,,,
user_961,2024-11-17T22:21:39.001937,130.22.53.195,purchase,,1737.0,2.0,359.25,,,
,2024-11-19T08:23:51.001945,,,,,,,TimeoutError,Connection to DB failed 2024-11-19T08:23:51.001945,
,2024-11-18T07:21:46.001947,,,,,,,TimeoutError,Connection to DB failed 2024-11-18T07:21:46.001947,
user_307,2024-11-18T13:15:29.001949,94.57.101.120,error,"{'item_id': 8895, 'quantity': 1, 'price': 440.59}",,,,,,
,2024-11-18T21:17:20.001955,,,,,,,TimeoutError,Connection to DB failed 2024-11-18T21:17:20.001955,
user_683,2024-11-18T23:27:51.001960,49.111.177.152,login,,7027.0,2.0,506.92,,,
,2024-11-17T22:24:08.001974,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-17T22:24:08.001974,
user_217,2024-11-18T07:28:30.001976,111.183.150.93,logout,,4579.0,2.0,70.44,,,
user_173,2024-11-18T18:42:37.001981,51.193.21.86,logout,"{'item_id': 5365, 'quantity': 5, 'price': 361.18}",,,,,,
,2024-11-18T21:20:05.001988,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-18T21:20:05.001988,
user_575,2024-11-18T00:53:18.001996,45.232.13.190,login,,9857.0,5.0,745.46,,,
,2024-11-17T22:52:26.002001,,,,,,,TimeoutError,Connection to DB failed,
user_120,2024-11-18T05:59:48.002004,37.80.40.230,update,"{'item_id': 6577, 'quantity': 1, 'price': 828.89}",,,,,,
user_246,2024-11-18T00:43:30.002016,139.109.39.182,logout,"{'item_id': 7915, 'quantity': 4, 'price': 917.36}",,,,,,
user_715,2024-11-18T00:30:47.002029,160.146.179.100,logout,,2901.0,4.0,559.18,,,
user_522,2024-11-19T15:33:29.002049,69.226.221.52,purchase,,8305.0,3.0,523.51,,,
user_451,2024-11-18T02:39:39.002056,75.220.141.204,login,"{'item_id': 9229, 'quantity': 2, 'price': 382.6}",,,,,,
user_909,2024-11-18T13:00:15.002068,16.233.250.18,error,,9013.0,1.0,953.44,,,
user_654,2024-11-19T00:57:56.002080,179.115.100.153,login,"{'item_id': 9577, 'quantity': 3, 'price': 279.93}",,,,,,
user_124,2024-11-18T20:14:36.002086,237.47.174.63,purchase,"{'item_id': 1304, 'quantity': 1, 'price': 209.63}",,,,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_49,2024-11-17T19:21:36.002103,255.159.133.220,login,"{'item_id': 6684, 'quantity': 4, 'price': 848.82}",,,,,,
user_63,2024-11-19T11:43:23.002109,246.120.41.234,update,"{'item_id': 4308, 'quantity': 3, 'price': 456.56}",,,,,,
,2024-11-19T08:13:24.002124,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-19T08:13:24.002124,
user_421,2024-11-19T08:39:40.002126,247.188.75.93,update,,1773.0,5.0,71.61,,,
,2024-11-18T04:11:40.002139,,,,,,,TimeoutError,Connection to DB failed 2024-11-18T04:11:40.002139,
user_191,2024-11-18T05:43:32.002142,115.225.144.202,purchase,,4618.0,1.0,857.42,,,
user_62,2024-11-18T00:04:34.002158,73.248.32.223,purchase,,1478.0,4.0,729.12,,,
user_321,2024-11-17T23:56:07.002164,126.12.143.95,login,"{'item_id': 8765, 'quantity': 5, 'price': 746.53}",,,,,,
user_688,2024-11-18T23:07:14.002173,245.225.177.30,error,,6102.0,3.0,827.68,,,
,2024-11-18T14:02:19.002183,,,,,,,InvalidBase64,Data cannot be decoded,
user_747,2024-11-19T13:11:06.002185,177.133.104.161,error,,5082.0,2.0,464.84,,,
,2024-11-19T16:24:36.002197,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-19T16:24:36.002197,
user_212,2024-11-18T23:24:25.002204,198.51.89.61,error,,2169.0,5.0,812.61,,,
user_249,2024-11-19T05:30:49.002221,8.222.51.51,login,"{'item_id': 5452, 'quantity': 5, 'price': 703.7}",,,,,,
user_790,2024-11-19T01:22:12.002231,185.89.159.242,login,,2901.0,4.0,668.18,,,
user_220,2024-11-18T13:02:36.002237,130.242.3.251,login,,6577.0,2.0,533.05,,,
,2024-11-17T17:42:23.002251,,,,,,,TimeoutError,Connection to DB failed 2024-11-17T17:42:23.002251,
user_626,2024-11-18T10:02:45.002255,7.109.53.212,logout,"{'item_id': 2872, 'quantity': 5, 'price': 591.41}",,,,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_345,2024-11-18T21:57:43.002268,56.253.60.221,logout,,7116.0,3.0,792.58,,,
user_212,2024-11-18T19:25:43.002274,134.185.157.162,login,,9298.0,1.0,17.16,,,
,2024-11-17T20:08:54.002280,,,,,,,TimeoutError,Connection to DB failed,
user_191,2024-11-17T23:05:17.002323,210.204.182.188,purchase,,2764.0,3.0,569.88,,,
,2024-11-18T05:17:15.002330,,,,,,,TimeoutError,Connection to DB failed 2024-11-18T05:17:15.002330,
user_550,2024-11-18T18:59:56.002334,181.235.22.193,login,"{'item_id': 6716, 'quantity': 5, 'price': 634.01}",,,,,,
user_694,2024-11-18T18:08:52.002341,54.41.254.239,purchase,,7754.0,3.0,517.42,,,
user_567,2024-11-17T20:16:37.002347,110.166.122.230,update,,4666.0,2.0,667.72,,,
user_156,2024-11-19T14:00:29.002363,137.24.158.243,login,"{'item_id': 8692, 'quantity': 3, 'price': 776.64}",,,,,,
user_123,2024-11-19T12:35:35.002371,106.142.247.60,update,"{'item_id': 2222, 'quantity': 5, 'price': 702.08}",,,,,,
,2024-11-19T01:56:21.002377,,,,,,,TimeoutError,Connection to DB failed,
user_458,2024-11-19T08:43:04.002392,134.201.185.79,error,,5955.0,4.0,798.76,,,
user_53,2024-11-18T04:54:21.002406,63.231.158.54,update,,6633.0,1.0,917.3,,,
,,,,,,,,,,Invalid Base64 or decoding error
,2024-11-19T00:08:23.002419,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-19T00:08:23.002419,
user_685,2024-11-19T08:48:11.002421,98.255.192.223,login,,8118.0,3.0,597.0,,,
,2024-11-18T01:10:30.002428,,,,,,,TimeoutError,Connection to DB failed,
,,,,,,,,,,Invalid Base64 or decoding error
user_134,2024-11-19T13:38:09.002470,36.7.96.213,purchase,,2275.0,4.0,826.79,,,
,2024-11-18T02:56:05.002500,,,,,,,TimeoutError,Connection to DB failed,
user_242,2024-11-18T18:44:38.002502,150.61.219.38,purchase,,6069.0,1.0,329.36,,,
user_941,2024-11-19T06:01:30.002514,77.153.234.229,update,"{'item_id': 5514, 'quantity': 3, 'price': 478.19}",,,,,,
user_245,2024-11-19T07:06:13.002523,15.107.68.207,error,,1296.0,5.0,553.71,,,
,,,,,,,,,,Invalid Base64 or decoding error
,2024-11-17T18:24:56.002542,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-17T18:24:56.002542,
,,,,,,,,,,Invalid Base64 or decoding error
user_232,2024-11-19T11:45:28.002553,122.54.98.186,login,"{'item_id': 9566, 'quantity': 4, 'price': 772.02}",,,,,,
user_595,2024-11-18T03:41:13.002572,228.40.68.37,logout,"{'item_id': 6344, 'quantity': 4, 'price': 776.11}",,,,,,
user_654,2024-11-18T02:22:57.002595,57.7.116.157,login,"{'item_id': 5019, 'quantity': 2, 'price': 419.35}",,,,,,
user_392,2024-11-17T23:45:15.002614,80.102.155.61,logout,,7583.0,5.0,195.52,,,
user_585,2024-11-17T21:37:30.002620,147.127.188.160,error,,4225.0,3.0,187.93,,,
user_305,2024-11-18T03:43:43.002628,190.201.151.222,login,,2752.0,2.0,832.32,,,
user_722,2024-11-18T01:13:47.002637,215.207.154.86,update,,3919.0,1.0,240.92,,,
,2024-11-18T09:20:44.002648,,,,,,,TimeoutError,Connection to DB failed,
,2024-11-19T03:50:06.002665,,,,,,,InvalidBase64,Data cannot be decoded,
user_490,2024-11-19T01:22:37.002667,163.85.11.203,login,,4995.0,5.0,514.33,,,
user_116,2024-11-18T05:34:01.002682,152.154.15.255,update,"{'item_id': 2468, 'quantity': 1, 'price': 487.99}",,,,,,
,2024-11-19T07:51:07.002688,,,,,,,TimeoutError,Connection to DB failed 2024-11-19T07:51:07.002688,
,2024-11-18T00:11:43.002690,,,,,,,TimeoutError,Connection to DB failed,
,2024-11-18T00:53:32.002698,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-18T00:53:32.002698,
user_488,2024-11-19T06:29:03.002700,73.248.168.92,login,,6014.0,5.0,386.13,,,
user_481,2024-11-18T12:20:58.002706,58.146.64.182,logout,,6272.0,2.0,18.16,,,
user_407,2024-11-19T05:14:12.002712,218.221.168.177,purchase,,5666.0,1.0,71.43,,,
user_816,2024-11-18T14:16:16.002718,53.68.112.149,update,,8382.0,4.0,172.48,,,
user_764,2024-11-17T23:53:34.002724,80.139.206.86,update,,4036.0,3.0,478.34,,,
user_448,2024-11-19T03:15:01.002732,215.215.110.10,login,"{'item_id': 9526, 'quantity': 3, 'price': 873.1}",,,,,,
,2024-11-18T19:47:50.002742,,,,,,,TimeoutError,Connection to DB failed,
,2024-11-19T13:29:40.002744,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-19T13:29:40.002744,
,,,,,,,,,,Invalid Base64 or decoding error
user_936,2024-11-17T19:44:16.002785,186.22.106.153,purchase,,6655.0,2.0,182.26,,,
user_881,2024-11-19T16:25:20.002791,229.144.189.217,login,,7000.0,3.0,228.8,,,
,2024-11-18T03:48:55.002803,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-18T03:48:55.002803,
user_756,2024-11-19T14:00:58.002809,77.220.123.57,update,"{'item_id': 7296, 'quantity': 2, 'price': 338.6}",,,,,,
,2024-11-19T12:08:30.002847,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-19T12:08:30.002847,
user_313,2024-11-18T05:28:52.002858,134.248.110.48,login,,4619.0,2.0,482.28,,,
user_826,2024-11-18T06:11:46.002867,98.101.204.41,login,,5660.0,5.0,574.72,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_123,2024-11-17T22:11:53.002889,157.35.243.96,purchase,,1775.0,1.0,481.36,,,
user_222,2024-11-17T21:53:26.002900,44.5.152.152,update,,1818.0,2.0,321.5,,,
user_177,2024-11-18T15:48:51.002925,9.237.111.96,logout,,2000.0,4.0,411.04,,,
user_22,2024-11-18T20:32:30.002951,170.54.74.5,error,,3117.0,3.0,640.33,,,
user_324,2024-11-18T14:48:32.002959,3.249.60.105,update,,9772.0,5.0,707.06,,,
,2024-11-18T06:24:24.002965,,,,,,,TimeoutError,Connection to DB failed 2024-11-18T06:24:24.002965,
user_547,2024-11-19T11:40:51.002975,14.208.217.69,error,,3205.0,2.0,107.85,,,
user_756,2024-11-18T09:11:59.002989,81.100.135.184,login,,1648.0,5.0,794.61,,,
user_835,2024-11-18T08:39:20.003001,121.23.199.154,purchase,,3803.0,1.0,410.26,,,
,2024-11-17T22:23:44.003015,,,,,,,InvalidBase64,Data cannot be decoded,
user_956,2024-11-17T19:51:03.003027,1.26.156.184,error,"{'item_id': 9511, 'quantity': 3, 'price': 691.79}",,,,,,
user_746,2024-11-18T10:36:52.003045,216.246.64.222,error,,9761.0,4.0,927.58,,,
user_461,2024-11-19T04:26:29.003057,218.119.129.191,login,,5665.0,1.0,792.06,,,
user_131,2024-11-19T02:48:00.003067,233.12.113.226,login,,8126.0,5.0,55.11,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_326,2024-11-17T23:23:30.003083,1.11.81.2,purchase,,5490.0,2.0,357.2,,,
user_733,2024-11-19T10:57:34.003103,227.113.110.8,error,,2211.0,4.0,741.55,,,
user_562,2024-11-17T23:06:46.003109,15.81.94.19,login,,9397.0,5.0,974.54,,,
,,,,,,,,,,Invalid Base64 or decoding error
,2024-11-18T07:16:15.003145,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-18T07:16:15.003145,
,2024-11-19T05:32:20.003147,,,,,,,InvalidBase64,Data cannot be decoded,
user_505,2024-11-18T01:39:52.003152,168.152.134.143,login,,1816.0,5.0,465.07,,,
user_834,2024-11-18T23:58:39.003164,41.22.132.179,error,"{'item_id': 9301, 'quantity': 4, 'price': 478.1}",,,,,,
user_343,2024-11-18T02:49:15.003171,16.111.148.9,logout,"{'item_id': 2307, 'quantity': 4, 'price': 516.47}",,,,,,
user_616,2024-11-18T02:41:21.003187,222.128.21.248,error,"{'item_id': 6176, 'quantity': 3, 'price': 112.36}",,,,,,
user_759,2024-11-18T04:58:55.003231,185.32.22.16,purchase,,1881.0,3.0,223.55,,,
user_577,2024-11-18T08:00:04.003237,220.157.255.31,update,"{'item_id': 1534, 'quantity': 5, 'price': 418.06}",,,,,,
user_701,2024-11-18T22:24:39.003263,105.157.203.49,logout,"{'item_id': 1147, 'quantity': 5, 'price': 91.04}",,,,,,
,2024-11-17T20:47:56.003269,,,,,,,TimeoutError,Connection to DB failed 2024-11-17T20:47:56.003269,
user_443,2024-11-18T20:33:49.003278,196.37.226.99,login,,4488.0,4.0,570.29,,,
,2024-11-18T05:25:19.003293,,,,,,,InvalidBase64,Data cannot be decoded,
user_323,2024-11-18T12:28:28.003318,68.158.87.20,login,,2021.0,1.0,352.03,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_110,2024-11-18T10:43:16.003334,114.72.90.79,login,"{'item_id': 6378, 'quantity': 2, 'price': 384.69}",,,,,,
,2024-11-18T15:24:43.003342,,,,,,,InvalidBase64,Data cannot be decoded,
user_967,2024-11-17T20:22:12.003344,110.84.155.136,purchase,"{'item_id': 4441, 'quantity': 5, 'price': 719.8}",,,,,,
user_972,2024-11-18T19:09:14.003377,224.145.172.247,login,,4978.0,1.0,649.28,,,
,2024-11-17T17:19:13.003383,,,,,,,TimeoutError,Connection to DB failed,
,2024-11-18T02:58:46.003390,,,,,,,InvalidBase64,Data cannot be decoded,
user_310,2024-11-19T00:55:34.003401,138.2.163.138,update,,7064.0,3.0,783.26,,,
user_540,2024-11-18T23:41:09.003411,15.93.209.235,logout,,5033.0,1.0,512.46,,,
user_739,2024-11-18T04:52:49.003424,212.224.79.129,error,"{'item_id': 4916, 'quantity': 3, 'price': 180.44}",,,,,,
,2024-11-18T08:35:16.003430,,,,,,,TimeoutError,Connection to DB failed 2024-11-18T08:35:16.003430,
user_141,2024-11-18T21:56:46.003439,66.47.61.206,logout,"{'item_id': 8229, 'quantity': 3, 'price': 978.11}",,,,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_791,2024-11-18T07:56:53.003476,93.151.152.89,error,,1752.0,2.0,647.2,,,
user_26,2024-11-19T07:03:09.003482,77.63.52.137,login,,5280.0,2.0,492.72,,,
user_387,2024-11-17T23:42:46.003490,15.234.218.177,error,,9348.0,3.0,634.03,,,
user_750,2024-11-18T16:51:18.003500,72.59.184.142,error,"{'item_id': 4855, 'quantity': 3, 'price': 646.14}",,,,,,
user_572,2024-11-18T19:17:10.003526,70.218.98.121,purchase,,4923.0,1.0,341.83,,,
user_80,2024-11-18T05:27:41.003540,216.94.241.183,login,,7627.0,4.0,792.54,,,
user_480,2024-11-17T22:52:11.003563,171.108.148.101,logout,,3223.0,1.0,132.12,,,
user_967,2024-11-18T20:53:43.003569,175.76.127.228,update,,2702.0,2.0,385.1,,,
user_291,2024-11-18T06:05:01.003575,198.196.218.153,login,"{'item_id': 4695, 'quantity': 5, 'price': 420.19}",,,,,,
user_977,2024-11-19T10:01:40.003610,36.2.12.140,error,,2481.0,5.0,92.83,,,
user_984,2024-11-18T11:43:44.003623,178.50.223.236,update,,3122.0,3.0,850.65,,,
user_930,2024-11-18T23:17:23.003632,235.245.118.89,error,"{'item_id': 6910, 'quantity': 3, 'price': 423.25}",,,,,,
,2024-11-19T15:42:24.003644,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-19T15:42:24.003644,
user_489,2024-11-19T07:20:05.003646,164.94.149.41,update,,6320.0,2.0,981.51,,,
user_224,2024-11-18T17:03:50.003664,100.218.247.112,login,,5617.0,3.0,529.24,,,
,2024-11-17T23:47:02.003674,,,,,,,InvalidBase64,Data cannot be decoded,
,,,,,,,,,,Invalid Base64 or decoding error
user_342,2024-11-19T12:52:15.003691,124.180.136.121,logout,"{'item_id': 8226, 'quantity': 5, 'price': 534.12}",,,,,,
,2024-11-19T13:08:40.003697,,,,,,,InvalidBase64,Data cannot be decoded,
user_180,2024-11-17T22:47:33.003699,67.235.30.214,update,,1913.0,1.0,972.41,,,
user_397,2024-11-19T14:26:00.003710,221.205.66.189,logout,"{'item_id': 4485, 'quantity': 3, 'price': 794.91}",,,,,,
user_127,2024-11-18T05:25:46.003726,86.136.229.36,purchase,"{'item_id': 1770, 'quantity': 5, 'price': 685.78}",,,,,,
,2024-11-18T23:57:42.003733,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-18T23:57:42.003733,
user_684,2024-11-18T09:49:14.003742,186.158.88.111,update,"{'item_id': 5970, 'quantity': 1, 'price': 282.5}",,,,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_121,2024-11-18T15:54:07.003775,254.101.64.122,purchase,"{'item_id': 6412, 'quantity': 2, 'price': 272.53}",,,,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_599,2024-11-18T05:14:29.003794,69.182.6.224,error,,9702.0,3.0,537.27,,,
,,,,,,,,,,Invalid Base64 or decoding error
,,,,,,,,,,Invalid Base64 or decoding error
user_398,2024-11-18T05:08:17.003837,88.42.23.210,logout,,1141.0,1.0,387.66,,,
user_263,2024-11-19T03:10:31.003843,9.139.90.244,purchase,"{'item_id': 6607, 'quantity': 5, 'price': 336.67}",,,,,,
,2024-11-19T04:16:52.003855,,,,,,,InvalidBase64,Data cannot be decoded,
user_176,2024-11-18T23:02:29.003858,145.145.233.245,purchase,,5117.0,3.0,581.54,,,
user_209,2024-11-17T21:35:59.003864,255.74.38.128,logout,,2021.0,4.0,19.56,,,
user_269,2024-11-18T06:52:05.003870,197.138.36.111,login,"{'item_id': 9534, 'quantity': 1, 'price': 912.09}",,,,,,
user_892,2024-11-17T21:54:37.003881,35.232.228.164,update,,3081.0,1.0,774.95,,,
user_972,2024-11-19T11:28:23.003902,35.123.91.79,login,,4096.0,3.0,681.22,,,
,2024-11-19T16:52:43.003910,,,,,,,InvalidBase64,Data cannot be decoded,
user_72,2024-11-18T16:37:20.003912,64.232.18.178,error,"{'item_id': 7066, 'quantity': 5, 'price': 553.89}",,,,,,
user_869,2024-11-18T05:15:16.003925,75.117.243.191,purchase,,3425.0,3.0,342.15,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_847,2024-11-17T17:59:18.003948,228.14.133.132,update,"{'item_id': 6938, 'quantity': 3, 'price': 814.24}",,,,,,
user_329,2024-11-18T08:24:41.003971,208.169.209.213,error,"{'item_id': 6371, 'quantity': 3, 'price': 463.75}",,,,,,
,2024-11-18T00:17:34.003977,,,,,,,TimeoutError,Connection to DB failed 2024-11-18T00:17:34.003977,
,2024-11-19T14:29:34.003981,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-19T14:29:34.003981,
,,,,,,,,,,Invalid Base64 or decoding error
,2024-11-18T23:16:16.003998,,,,,,,InvalidBase64,Data cannot be decoded,
user_361,2024-11-18T18:47:18.004000,221.200.35.42,login,,3598.0,4.0,840.59,,,
user_290,2024-11-18T22:48:53.004022,70.72.199.181,error,"{'item_id': 3543, 'quantity': 4, 'price': 12.92}",,,,,,
user_121,2024-11-19T09:53:05.004046,240.164.197.142,update,,6707.0,1.0,686.76,,,
,2024-11-19T08:58:35.004060,,,,,,,TimeoutError,Connection to DB failed,
user_855,2024-11-18T16:40:30.004067,178.227.104.90,error,"{'item_id': 4472, 'quantity': 3, 'price': 569.09}",,,,,,
user_190,2024-11-18T11:09:35.004092,114.215.2.148,error,"{'item_id': 1115, 'quantity': 3, 'price': 437.88}",,,,,,
,,,,,,,,,,Invalid Base64 or decoding error
,2024-11-19T17:01:32.004105,,,,,,,InvalidBase64,Data cannot be decoded,
user_581,2024-11-19T06:46:07.004109,152.235.179.45,login,"{'item_id': 3240, 'quantity': 2, 'price': 193.65}",,,,,,
